A.X.F. S.A.,SMARTPARK ALE,192.168.64.3,210-6635324,,COSMOTE,,COSMOTE,,IPVPN157560,,,,,,,,,,,
A.X.F. STORES S.A.,DEMO 4G,192.168.55.2,210-5000138,,,,VODAFONE,,IPVPN157570,,,,,,,,,,,
A.X.F. STORES S.A.,ΠΑΤΗΣΙΩΝ,192.168.28.3,210-8677083,195.97.82.129,VBC2,,VODAFONE,,IPVPN157538,195.97.82.131,4,Netviewer,,,,,,ok,ok,Qconect
A.X.F. STORES S.A.,ΚΟΡΥΔΑΛΛΟΣ,192.168.17.3,210-4949260,195.97.82.137,VBC2,,VODAFONE,,IPVPN157530,195.97.82.139,3,Netviewer,,,,,,ok,ok,Safescan
A.X.F. STORES S.A.,ΜΑΡΟΥΣΙ,192.168.15.3,210-6128954,195.97.82.145,VBC2,,VODAFONE,,IPVPN157507,195.97.82.147,3,Netviewer,,,,,,,ok,Qconect
A.X.F. STORES S.A.,ΠΕΡΙΣΤΕΡΙ,192.168.21.3,210-5774415,195.97.82.153,VBC2,,VODAFONE,,IPVPN157536,195.97.82.155,2,Netviewer,,,,,,ok,ok,Qconect
A.X.F. STORES S.A.,ΠΕΙΡΑΙΑΣ ALE,192.168.19.3,210-4220715,195.97.82.161,VBC2,,VODAFONE,,IPVPN157535,195.97.82.163,3,Netviewer,,,,,,,ok,Qconect
A.X.F. STORES S.A.,ΗΡΑΚΛΕΙΟ,192.168.11.3,2810-300221,195.97.82.170,VBC2,,VODAFONE,,IPVPN157531,195.97.82.171,3,Netviewer,,,,,,,ok,Safescan
A.X.F. STORES S.A.,ΚΑΛΑΜΑΤΑ,192.168.12.3,27210-24433,195.97.82.177,VBC2,,VODAFONE,,IPVPN157532,195.97.82.179,3,Netviewer,,,,,,,ok,Safescan
A.X.F. STORES S.A.,ΚΟΜΟΤΗΝΗ,192.168.14.3,25310-81325,195.97.126.145,VBC2,,VODAFONE,,IPVPN157534,195.97.126.147,3,Netviewer,,,,,,,ok,Safescan
A.X.F. STORES S.A.,ΛΑΜΙΑ,192.168.13.3,22310-66760,195.97.82.193,VBC2,,VODAFONE,,IPVPN157533,195.97.82.195,3,CMS,,,,,,,ok,Safescan
